Evaluation Response,Final Question Response,Final Question Codes,OTT Codes
180,I always enjoy hearing from others and meeting new people. I heard a lot of great new ideas and while I didn’t change my mind on any topic I gained new perspectives. Great experience as always that we should do more often. ,Positive,
181,"Yes.  Got different points of view and ideas.

The opportunity to think about housing development differently, more mxed use vs huge tracts of housing.","Positive,Comp Plan Relevant",Style of Development
182,"It’s great to have a space where everyone can talk about ways to strengthen the community in order to better everyone.
We need to invest and creat more opportunities for impoverished areas of Lexington. ","Positive,Comp Plan Relevant","Economic Equity,Style of Development"
183,I did learn a lot about how bad current transportation options are in the city. It’s a shame that nursing home residents cannot ride public transportation alone ,"Positive,Comp Plan Relevant",Public Transportation
184,I think that childcare is a bigger issue then I thought.  Also I really want to know what non white old men think about how things should be.   I've been to 3 of these and diversity is lacking,"Comp Plan Relevant,Specific Feedback",Social Services
185,"This was a very fun experience. I loved hearing the various perspectives from people at my table. Folks who have lived in Lexington for 50 years, all the way to only 5 years had great insight on transportation employment, parking, and economic development. I learned more about rules for bus stops, bike lanes, and tax issues for parking lots. ","Positive,Comp Plan Relevant,Specific Feedback","Parking,Economic Development,Public Transportation,Walkability / Bikeability / Accessibility"
186,"I learned a lot about safety concerns that others have, which I never thought about. There are many concerns about bike and pedestrian safety. Affordable housing was a big concern, and that into into general safety and prosperity. ","Positive,Comp Plan Relevant","Traffic Calming / Safety,Housing Affordabiilty,Safety"
187,"I appreciate the opportunity to participate
These discussions are invaluable
I hope that the discussions are well attended by minorities in the community so that the view is as broad as possible

Gary Stewart ","Positive,Specific Feedback",
188,We discussed our environment and the crisis and chaos that may ensue in the future (near future) and if we are prepared.  ,"Comp Plan Relevant,Specific Feedback",Environmental Sustainability & Resiliency
189,Great conversation which could have gone on much longer. Good jog by facilitator. A little hard to hear in Malone’s breakfast venue with so many multiple tables going on simultaneously.,"Suggestion for Future,Positive,Specific Feedback",
190,"The urban services boundary is a very sensitive issue. Any expansion must come with thoughtfully crafted restrictions.
Our education system in Lexington is good but with some investment can be great.
Transportation issues will continue to hamper upward mobility for the economically marginalized. LexTran is not a viable solution.
","Comp Plan Relevant,Specific Feedback","Urban Services Boundary,Public Education,Public Transportation"
191,"Lexington’a motto is I have mind good luck getting yours, you’re on your own. My tree is more important than your life because I want to be able to look at the tree not you.  Harsh but that’s what I heard","Negative,Specific Feedback",
192,"I am shy, but felt included and encouraged to share. Thank you!",Positive,
193,"With the presence of a LFUCG council member at the table, I learned that there are many conversations and plans happening that hopes to address many of the ideas for improvement our table had. Which unlike some previous OTT years, helped keep the conversation from becoming a complaint session.","Positive,Specific Feedback",
194,"I wouldn’t say I changed my answers, it was interesting to see Lexington resident’s perspectives.",Positive,
195,It was good. I wish there were more time to discuss the prompts. ,"Positive,Specific Feedback",
196,This was great!,Positive,
197,No change. Good discussion. ,Positive,
198,This is a great opportunity to build concern and buy in from the community. ,"Positive,Specific Feedback",
199,Loved it! Would like to see this ongoing for all kinds of topics. There’s no way to get to all the topics on the list. ,"Positive,Specific Feedback",
200,Good discussion. Nothing else to add ,Positive,
201,Need more elder care and transportation - lexington is not a consistent renter friendly city - constantly at risk for increases out of price range - need sidewalks - mixed zoning for businesses on bottom complex and apartments on top is good - it’s obvious that Lexington is built for the wealthy and not for lower/middle class looking to better themselves. ,"Comp Plan Relevant,Specific Feedback","Social Services,Rental Issues,Walkability / Bikeability / Accessibility,Style of Development,Economic Equity"
202,Fantastic breakfast ,Positive,
203,I really appreciated this opportunity. I love the approach of creating conversations about topics which affect everyone but in very different ways. Our conversation opened my eyes to other’s perspective. ,"Positive,Document,Specific Feedback",
204,No,"Positive,Negative",
205,It was nice talking to other people about Lexington and what Lexington does right and what Lexington needs to change. ,Positive,
206,no changes in previous thoughts.  Gentrification is a big problem and needs attention.  ,"Comp Plan Relevant,Specific Feedback",Gentrification & Displacement
207,I did learn more about what others wanted and we actually were all on the same page.  We need to expand the Urban Services area.  We need more neighborhoods and they need to be planned for beauty and to keep our city beautiful.  I believe we can do both.  The original concept was nice but we are in a place where we need to move forward.  We need more homes and not more apartments.  People move here so they can live in a house not in an apartment.  This is not a large city and people move here to get away from that.  We can have a beautiful city and stop having people move out of Lexington.,"Positive,Comp Plan Relevant","Urban Services Boundary,Style of Development"
208,Excellent conversation. Passionate group. ,Positive,
209,"I enjoyed the conversation with my group! I did not change my mind about any of my responses, but I did enjoy hearing others' ideas for strategies to achieve some of the goals we mentioned and discussed. ",Positive,
210,The experience was great! Thank you for having this. I hope the momentum keeps going so that next year we can get more residents on the table!,"Positive,Document,Specific Feedback",
211,The experience was good. I learned about some urban county boundary issues. Didnt change my mind but food for thought.,Positive,
212,"I enjoyed the discussion on smart growth, greater need for housing options especially $150-450 range, expand the urban services boundary, encourage more citizens to visit different neighborhoods to have a broader perspective, encourage more volunteerism because the city services can do so much and need more partnerships in business, civic and faith community to expand the impact. ","Positive,Comp Plan Relevant","Urban Services Boundary,Government Services,Style of Development,Housing Affordabiilty,Diversity / Equity / Inclusion"
213,"I felt like the process forced me to think through my perspective on a variety of topics. Some of these items shifted with conversation, but more than anything it helped me to establish my opinions and encouraged me to think about where I personally am investing within the community. ","Positive,Specific Feedback",
214,"Interesting learning opportunity - brought up concerns I had not thought about like the need for grocery store downtown.

My answers remain largely the same &  a big focus is connectivity between Lexington neighborhoods/pedestrian access","Positive,Comp Plan Relevant","Connectivity,Walkability / Bikeability / Accessibility"
215,The amount of passion and concern about public transit And food deserts were interesting ,"Positive,Comp Plan Relevant","Public Transportation,Amenities & Quality of Life"
216,Today was insightful. I feel like most people had the same thoughts/ felt the same way I do on my topics.  The discussion was very well rounded. ,"Connected with Others,Positive,Specific Feedback",
217,I really enjoyed the conversation. I would love to have a more diverse group and hear some different opinions. ,"Positive,Specific Feedback",
218,"I would add to my response regarding neighborhood issues is lack of public transportation into and out of Hamburg areas.
The added need for daily living grocery, gym, etc for downtown areas
Also school related traffic and nuisance related to pickup and drop off lines that should be expanded. ",Comp Plan Relevant,"Public Transportation,Amenities & Quality of Life,Traffic Congestion,Public Education"
219,I loved the feedback and conversations with our group. I would absolutely participate in more of these conversations on a regular basis if provided the opportunity. I didn’t change my mind about much but definitely increased my awareness of the issues and added more depth to my opinions. ,"Positive,Specific Feedback",
220,"There was a lot of great conversation. In settings like this, it’s easy to get side tracked and lose sight of the topic being discussed. I would have loved to see us talk more about neighborhoods in general, improving existing neighborhoods, improving plans of neighborhoods being developed. All in all, great conversation. ","Positive,Specific Feedback",
221,"Great round table / open table
Good discussions

No , I did not change my mind on any answers ",Positive,
222,More businesses around Masterson Station neighborhood/accessibility. Very insightful experience regarding complexity of issues & perspectives. ,"Positive,Comp Plan Relevant,Specific Feedback",Growth Location
223,"Services that our city provides was more of a hot button than I thought it would be, specifically the city getting word out about new initiatives, community engagement, community services & community events.  Whitney did a great job presenting with Rob’s assistance - he was very informative. ","Positive,Comp Plan Relevant,Specific Feedback",Government Services
224,It was good. I enjoyed it. ,Positive,
225,I appreciate this opportunity yo participate and exchange.,Positive,
226,It was interesting to hear the various opinions especially of the younger participants. ,Positive,
227,It was really interesting to think about parts of Lexington I’ve never particularly thought of. I think expanding housing is probably top priority as Lexington continues to grow.,"Positive,Comp Plan Relevant",Style of Development
228,Great conversation ,Positive,
229,It was very eye opening because I’m not very involved in my community so it opened my eyes on the problems I should look out for in the future. ,Positive,
230,Made me think about what others considered a priority. Preserving neighborhoods in my opinion should be the ultimate priority.,"Positive,Comp Plan Relevant",Style of Development
231,The conversation reinforced a lot of things I already knew about Lexington,Positive,
232,Making public transportation more accessible by creating more sidewalks and helping make housing more affordable as well as making jobs more accessible.,Comp Plan Relevant,"Public Transportation,Walkability / Bikeability / Accessibility,Housing Affordabiilty,Economic Development"
233,"The experience was good, I enjoyed the talk and hearing everyone’s opinions. I learned a lot and how others feel. I did chance what I had to say and I’m proud because I felt it was important. ",Positive,
234,It was a nice experience. I learned some eye opening opinions and points about Lexington and their development. I did change my mind about the situation environment and transportation. ,Positive,
235,"Good conversation. Good suggestions about housing and community.
Top issues related to infrastructure. ","Positive,Comp Plan Relevant",Infrastructure & Utilities
236,"I had a fun time coming here with my class, I learned more about Lexington in one hour than I have in a couple years mostly about infrastructure, the future and past of the city, what we should focus on moving forward and how we should go about. ","Positive,Document",
237,"This was a great opportunity to connect with others and think about what is working well & what can be improved in the city. The discussion about transportation, missing middle housing, homelessness, gentrification, displacement, housing density, air pollution, and soil quality was fascinating. I love the Lexington murals & how they enhance the physical space and heighten awareness of local artists. Thank you!","Positive,Comp Plan Relevant","Social Services,Gentrification & Displacement,Environmental Sustainability & Resiliency,Style of Development,Amenities & Quality of Life"
238,"I would like to add to my answers that Lexington NEEDS missing middle housing like duplexes, fourplexes, townhouses, etc. and mixed use developments in our neighborhoods.

I also want to add that we should fund the arts more and increase the murals we have and have more art integrated into our communities. I think increasing the art and murals in our community will bring tourism and people to these areas.

Lastly, I absolutely love getting to participate in these and talk to community members about what’s going on in our city. ","Positive,Comp Plan Relevant","Style of Development,Amenities & Quality of Life"
239,THERE REALLY NEEDS TO BE LIGHTS AT THE BUS STOP. I didnt change my mind I just found that so much more than I initially thought needs to change. ,Comp Plan Relevant,Public Transportation
240,Experience was great. Whitney did a great job of bringing her local govt expertise to a complex conversation. I still believe we need upward and outward expansion in Lexington if we are going to meet our demand for housing. If not affordable housing for all income levels will be difficult to find. ,"Positive,Comp Plan Relevant","Style of Development,Housing Affordabiilty"
241,The library needs to be a key component of growth. ,"Positive,Comp Plan Relevant",Amenities & Quality of Life
242,People are clueless outside their bubbles. ,Negative,
243,"This was a well run table
I learned that there needs to be more available information for people of color moving into Lexington. ","Positive,Comp Plan Relevant,Specific Feedback",Diversity / Equity / Inclusion
244,"There needs to be more side walks, more community events, more affordable housing. A lot of apartments are not up to code. More support for our homeless population. Snow plows need to prioritize low income neighborhoods too. Clean up green areas. More doctors/medical professionals with cultural sensitivity training for LGBTQ+ individuals. Less unpaid internships. More transgender care providers, especially for pregnancy. Lots of sex offenders live in low income neighborhoods with kids. This needs to be changed. More effort to make parks safe and clean from needles, trash, etc.",Comp Plan Relevant,"Walkability / Bikeability / Accessibility,Amenities & Quality of Life,Social Services,Diversity / Equity / Inclusion,Wages / Benefits,Safety,Urban Greenspaces,Environmental Sustainability & Resiliency"
245,This was a really good experience.  It allowed me to think more intentionally about the things that would benefit the city as a community and not just a place.  I hope the comments are received as more than just words and that action is put into place.  ,"Positive,Specific Feedback",
246,I think it was a great experience that allowed everyone to share thier thoughts and everyone to be heard.  ,Positive,
247,It was very informative and lively conversation.,Positive,
248,Yes we need a mass transportation and more actual cultural incorporation of all people in the community. ,Comp Plan Relevant,"Public Transportation,Diversity / Equity / Inclusion"
249,The conversation was full,Positive,
250,That transportation has to changes ,Comp Plan Relevant,
251,Gentrification and policing that targets specific races is an issue that needs to be addressed. ,Comp Plan Relevant,"Gentrification & Displacement,Diversity / Equity / Inclusion"
252,"This experience is amazing because it teaches me how to grow in aspects of safety,growth’s  and development ",Positive,
253,I loved this experience! I think that adding more bus routes will help take cars off the road and give people an opportunity to have the option to get to more employment opportunities . I also think that the city needs to find a way to support daycares! Trash cans and a shelter covering needs to be located next to everywhere bus stop. ,"Positive,Comp Plan Relevant,Specific Feedback","Public Transportation,Social Services"
254,"It seems like the same issues come up over and over again, year after year. In particular transportation has been an issue, particularly for our college students. ",Comp Plan Relevant,
255,I have learned about transportation and jobs opportunities to improve Lexington. Affordable housing in urban city.,Comp Plan Relevant,Housing Affordabiilty
256,"This was nice, so many free thinkers and open minds to listen to. Everyone was willing to talk and have shared opinions","Connected with Others,Positive",
257,"I learned a lot, I think it was a great time, where we discuss everything related to transportation in Lexington and things that should be improved. I would recommend this to all my friends. ",Positive,
258,"This was a great experience and opportunity, I learned about didn’t perspectives of others who reside in Kentucky. I also enjoyed being able to put my input into the discussion. ",Positive,
259,I think it was great to hear different perspectives on different topics. We talked a lot about transportation and how Lexington can improve in the next 20 years.,Positive,
260,The experience was good. I learned about how transportation in Lexington needs improvements and how there should be a push for more minorities spaces. My mind definitely expanded. ,"Positive,Comp Plan Relevant",Diversity / Equity / Inclusion
261,"Enjoyed it!!

I did not change my mind.",Positive,
262,"I think most in our group were in agreement about improved public transportation. We also agreed that the infill housing projects should include mixed use, so shops and services can be close to those living there. ",Comp Plan Relevant,"Public Transportation,Infill & Redevelopment,Style of Development,Amenities & Quality of Life"
263,"I believe Lexington should continue to build and grow in ways that have all of the citizens in mind, not just the ways that profit the ones who are building. ",Comp Plan Relevant,Style of Development
264,The experience is great. It was suggested that the conversation should be 90 minutes. Great materials. Easy to use! People enjoyed the experience.,"Positive,Specific Feedback",
265,No changes. Housing important,Comp Plan Relevant,
266,Great experience. Glad I was able to come.,Positive,
267,"Work Civic Lex does
Perspectives I. Housing and equity in Lexington from people in different generations. ",Comp Plan Relevant,Diversity / Equity / Inclusion
268,Yes!! I did NOT see education in the priority it should have been. We absolutely MUST be pulling up our children to be able to equitably access opportunities that are ALSO equitably available TO ALL,"Positive,Comp Plan Relevant,Specific Feedback","Public Education,Diversity / Equity / Inclusion"
269,"It was fun! I just wonder what real impact it’ll have, and I wish there was more diversity ","Positive,Specific Feedback",
270,I enjoyed it!,Positive,
271,"I learned a lot and it was really good talking to everyone, I loved it and hope this happens more often and bears fruit.  ",Positive,
272,Lots of good conversations! Many of us were on the same page,Positive,
273,"It was interesting to learn about public pools. Rapid bus transit, and learning about the solutions and obstacles to progress.  ","Positive,Comp Plan Relevant","Amenities & Quality of Life,Public Transportation"
274,"The experience was good but I’m not optimistic that we (Black & Brown) people will be heard or given equitable access or opportunities. This is a city that cowers to the majority (upper class, white). ","Positive,Comp Plan Relevant,Specific Feedback","Economic Equity,Diversity / Equity / Inclusion"
275,"Wonderful experience! Was great getting to know other people in the community and listening to their concerns. I would like to hear some results from the survey, what was learned, who attended, etc. I didn’t change my answers but the conversation gave me more ideas!","Positive,Specific Feedback",
276,Yes,Positive,
277,A very excellent conversation. I learned more about the issues behind infill and the difference between housing and the service boundary.,"Positive,Comp Plan Relevant","Infill & Redevelopment,Urban Services Boundary"
278,Yes!! Very informative. ,"Learned Something,Positive",
279,I am more aware of my neighbors concerns about speeders endangering bikers and walkers.,"Positive,Comp Plan Relevant","Traffic Calming / Safety,Walkability / Bikeability / Accessibility"
280,Yes. A lot about different ongoing projects in Lexington. ,Positive,
281,No,"Positive,Negative",
282,Would love to see greater investment placed into environmental concerns.  ,Comp Plan Relevant,Environmental Sustainability & Resiliency
283,Speed bumps on our street. Smaller buses. Better bus routes. Connect prestons cave to McConnell springs to walk. ,Comp Plan Relevant,"Traffic Calming / Safety,Public Transportation,Connectivity"
284,"I learned more from my fellow participants about the need for accessible transportation options for non drivers ... good sidewalks, bike paths that don't suddenly end, bus routes that make sense, and connectors to parks and business districts for bikes and walkers.",Comp Plan Relevant,"Walkability / Bikeability / Accessibility,Public Transportation,Connectivity"
285,I learned about the need to infill spaces that are standing empty. The experience was great. I also heard an idea regarding using smaller vans for public transportation. I think that's a great idea. They would be more affordable to run and maintain opening up the possibility of improved routes.,"Positive,Comp Plan Relevant","Infill & Redevelopment,Public Transportation"
286,"Good ideas. No.



",Positive,
287,The importance of non automotive transportation lanes or paths including foot travel and bicycle use. Connectivity.,Comp Plan Relevant,"Walkability / Bikeability / Accessibility,Connectivity"
288,"I thought of one thing it add - it is shocking to me that it is still legal to have your phone in your hand while you drive. Other states have been hand-free for a decade or more. Texting/talking on the phone while driving leads to so many accidents. Why on earth is this still legal in KY?

Also, the conversation brought to my attention that there are some very large buildings around our neighborhood that have been empty for years or are newly empty. How are these large properties being repurposed? These seem like great areas for growth (turning them into condos, apartments, etc.) rather than expanding outside the city boundaries. ",Comp Plan Relevant,"Traffic Calming / Safety,Growth Location"
289,"It was really nice getting to sit down with my community and talk about stuff. I learned some things about the history of Lexington, and about issues facing our area, such as the incinerator by McConnell Springs that is stinking up our air. I didn't change my mind on anything I said in earlier questions, but I did get some more ideas, such as public recycling bins anywhere that has public trash cans, and sidewalks that are independent of roads.","Positive,Comp Plan Relevant,Specific Feedback","Environmental Sustainability & Resiliency,Recycling & Composting,Walkability / Bikeability / Accessibility"
290,"Abolish the police, provide equitable and affordable housing FOR ALL!!!",Comp Plan Relevant,Housing Affordabiilty
291,"Yes--learned a lot!  Didn't change my mind, but I'd like to add one idea.  New developments could be either incentivized or required to include a proportion of affordable housing.","Learned Something,Didn't Change Mind,Positive,Comp Plan Relevant",Housing Affordabiilty
292,It was great! I walked in not knowing what was going on but learned so much and am excited to hear more! I love that there is a group working to make these changes in Lexington and want to contribute and participate in the future. ,"Positive,Document",
293,"I was pleased to meet some new people who had a broad range of interests and expertise — architects, horticulture, students and engineers: tourism professionals and environmental scientists. ","Positive,Specific Feedback",
294,This was a wonderful experience.  Our citizens are fortunate to have an opportunity to share input.  I was glad to learn about the Greenspace Comission.,Positive,
295,"I’ve had the opportunity to provide public input before, it’s always an exciting and engaging process, but unfortunately it’s ultimately disheartening and alienating when City Council completely undermines and ignores the overwhelming consensus of its constituents.","Positive,Specific Feedback",
296,Focusing on social connection is important. There is so much value in designing a city to support social connections. It builds community and supports individual health.,Comp Plan Relevant,Amenities & Quality of Life
297,Experience was good. Although facilitator could have prompted for more participants’ inputs.,"Positive,Specific Feedback",
298,The influx of transportation dollars could be REVOLUTIONARY for our community!!,Comp Plan Relevant,
299,The experience was amazing. ,Positive,
300,Wonderful time of sharing visions for the future. Learned about programs and areas of opportunities. ,Positive,
301,"My biggest takeaway is that no one wants to talk about how to pay for big ideas. Big change costs big money, and people have to be willing to support big changes in existing systems and structures through modified tax policy, etc.  ",Positive,
302,"I did change my mind to become more open to expanding the urban service boundary, because infill and redevelopment often means redeveloping poor neighborhoods into gentrified neighborhoods. We certainly should be making use of vacant or abandoned areas inside the boundary, but we shouldn't be pushing redevelopment on existing communities that don't want it. To that end, if we have a choice in the matter, we should leave the ""Opportunity Zone"" program. A community is a living entity, not some kind of gold rush for developers.",Comp Plan Relevant,"Urban Services Boundary,Infill & Redevelopment,Style of Development"
303,it went well! everyone had valuable contributions and i felt represented and respected. ,Positive,
304,Please protect the farmland and wildlife habitat areas.  Keep the urban service boundary where it is!,Comp Plan Relevant,"Rural Greenspace Conservation,Urban Services Boundary"
305,I enjoyed my first o the table experience. I learned some things and felt like my voice was heard. ,Positive,
306,I still thought the same for my answers.,Positive,
307,I learned that we all come from different backrounds and have had different experiences,Positive,
308,i dont have anything else,Not Usable,
309,none of my answers changed the people i discussed with seem to feel the same way i do.,Positive,
310,public transport and paths could defiantly be improved,Comp Plan Relevant,Public Transportation
311,"Yes, I have learned lot of things about environment and people around us from table discussion.  No i haven't change my mind. ","Positive,Comp Plan Relevant",
312,it was pretty good i learned theres alot of good and bad things about lexington i didnt feel the need to change my anwsers,Positive,
313,"Not much, I didn't change my mind ","Netural,Didn't Change Mind,Positive",
314,yes and we all agreed on the same things we talked about how we want our neighborhoods improved and i never thought about adding new streets until i talked with my group.,Comp Plan Relevant,Infrastructure & Utilities
315,There were people that also wanted more bike ways and sidewalks.,Comp Plan Relevant,Walkability / Bikeability / Accessibility
316,It was a good experience. I learned my classmates ideas on how we should change and grow the economy. I didnt really change my mind on any ideas my classmates mainly agreed with me ,Positive,
317,I didn't really change anything about my answers since we all had similar answers but at the same time i did learned something from them and see other things in different perspective..,Positive,
318,"Yes, I learned that our roads are worse than I thought. One thing new I learned is that we only have 1 public transportation system. I changed my mind concerning transportation. I think we should have more than one system.",Comp Plan Relevant,"Infrastructure & Utilities,Public Transportation"
319,"It was fun, I learned that a lot of people wan more public transportation like trains. No I don't change my mind because all of us in my group had the same thing in mind.","Positive,Comp Plan Relevant",Public Transportation
320,I did learn the different perspectives from each person of my group ,Positive,
321,I enjoyed the discussion!,Positive,
322,"I realize the need to end single family zoning all across the community now. Ending sfz could bring about numerous changes in equity, environmental issues, walkability, and improve the city's tax base. ",Comp Plan Relevant,"Style of Development,Walkability / Bikeability / Accessibility,Environmental Sustainability & Resiliency"
323,It was a cool experience. It was good to hear from folks who lived here longer than me ,"Connected with Others,Expanded Worldview,Positive",
324,I learned more about my neighborhood. I thought it was helpful. ,Positive,
325,It was good. I learned a lot about other peoples ideas on transportation ,"Learned Something,Positive",Public Transportation
326,"The city needs to invest abs incentivize businesses to come to lexington!
We all were in agreement!
Invest in busses!!!","Positive,Comp Plan Relevant","Economic Development,Public Transportation"
327,Fun and engaging. Felt like a brain storming session and could talk for days on these topics. Would be helpful to hear from experts as well though!,"Positive,Specific Feedback",
328,"The conversation made me think more about deep issues, especially transportation/bike lanes. The best idea I heard was to make downtown more pedestrian-friendly, similar to other cities like Knoxville. The city should dedicate resources to creating a pedestrian area that has retail, restaurants, etc. The Pearl in San Antonio is also a nice model. ","Comp Plan Relevant,Specific Feedback",Walkability / Bikeability / Accessibility
329,"A wonderful experience and I enjoyed hearing the different perspectives from the other attendees. Issues that were raised that I hadn’t considered were the importance of public input on architecture, the value of historic preservation, and the need to further build out the urban center of town. ","Positive,Comp Plan Relevant",Style of Development
330,"Housing, jobs, transportation all so important to consider together.  We love growth but don’t want to sacrifice environment or inclusion to get it. ",Comp Plan Relevant,
331,I enjoyed getting to have a discussion about Lexington and thinking about some solutions to the problems we see.,Positive,
332,"We realized how hard it is debating the strategies and consequences for growth and that people who live in walkable, connected communities are happier. Also that UK students feel disconnected from Lexington. ","Positive,Comp Plan Relevant,Specific Feedback","Walkability / Bikeability / Accessibility,Connectivity,Public Education"
333,"Conversation was excellent - hearing different opinions, visions, dreams was helpful.  Discussion about a future with less dependence on cars was interesting and helpful","Positive,Comp Plan Relevant","Walkability / Bikeability / Accessibility,Public Transportation"
334,Yes . Good conversation. My mind was not changed.,Positive,
335,The way Lexington grows will be crucial to our future. ,Positive,Style of Development
336,"Appreciated the conversation and opportunity to host, happy to have Planning staff here as well. ","Positive,Specific Feedback",
337,My first table discussion. Very informational.,Positive,
338,I got a chance to express my concerns and this seems like an Avenue to work further along side the city,Positive,
339,I learned a lot during the conversation and I have a lot to think about but my answers remain the same.,Positive,
340,"My mind was not changed, but it was nice to hear others’ opinions and to build community. ",Positive,
341,Good experience. Learned that city’s code enforcement and police security is not always responsive to individual residents’ complaints and safety issues. That is a real concern. ,"Positive,Comp Plan Relevant",Safety
342,"I think the conversation was very effective, I did learn a lot about the community including viewpoints that weren’t my own, but none of my answers changed. ",Positive,
343,"There needs to be a push for more local retail and more colored businesses, better public transportation should be one of the most important fixes that need to be done such as, better bike lanes that don't just end at a random point. Better bus stops and routes that make transportation efficient, cheap, and easy to access. ",Comp Plan Relevant,"Economic Equity,Economic Development,Public Transportation"
344,"It was awesome. I feel like bouncing ideas off each other really allowed me to develop my ideas and thought even more than they were. I did learn a lot about the communities and groups some of my peers are involved with that they believe need more attention, such as the arts and local farmers. I didn’t really change my mind per say, but More so added on to what I would love to see done in Lexington","Positive,Comp Plan Relevant",
345,"i think the conversation was really insightful, and i think our tables largest concern was with accessibility. Lexingtonians should have more access to public transportation (more efficient and safe/clean transportation at that), more bike lanes/walking paths, affordable housing, and access to the arts (especially for young/poor people). It should also be a lot easier to navigate bud schedules or recycling guidelines, and itd be great if the city had a centralized compost system.","Positive,Comp Plan Relevant","Public Transportation,Walkability / Bikeability / Accessibility,Housing Affordabiilty,Recycling & Composting"
346,"This was a great experience. I learned more about different perspectives of living in different areas of the city and how that affects our different experiences pertaining to the topic questions. I don't feel like I changed my mind that much, many of my ideas were validated by the others, we agreed often. 
","Positive,Document,Specific Feedback",
347,"I think it was really beneficial to learn about how different citizens from different areas view our community. I think some of the top conversations were regarding public transit, general transit, waste management and suburban sprawl. On public transit- the bus system exists but is not necessarily safe or accessible, you need technology to access the routes. On transit- more bike and walk!! Suburban sprawl is generally bad; and dangerous and e waste disposal needs to be more accessible to prevent dumping. ","Positive,Comp Plan Relevant","Public Transportation,Walkability / Bikeability / Accessibility,Style of Development,Environmental Sustainability & Resiliency"
348,"I somewhat reconsidered my positions on development especially in the sector of residential growth. I think the city needs to invest more in housing near downtown instead of this mixed use housing near the fayette mall that is proposed. While those communities are good ideas, living downtown is more ideal for jobs, shopping, and the general view of the city from outsiders","Comp Plan Relevant,Specific Feedback","Growth Location,Style of Development"
349,"Great!  I participated with several high school students and their thoughts were excellent.  They were worried that their info submitted if not being a high school graduate or college graduate might be looked at differently in the results, and although I told them that hopefully their would not be bias as results are viewed, it would be great if the survey allowed this demographic to be submitted (although this may be considered when looking at age!).  Our young people have excellent thoughts and ideas!!","Positive,Specific Feedback",
350,"This experience opened my eyes to a lot of different perspectives. We talked a lot about public transportation and expanding housing within Lexington, and I found it beneficial to hear from people who were more knowledgeable about different topics. We also talked about investing in education, especially when you’re looking at the next 20 years in Lexington. One thing we emphasized was developing more housing in centralized areas like downtown and reducing urban sprawl. ","Positive,Comp Plan Relevant","Public Transportation,Public Education,Growth Location,Style of Development"
351,"Yeah, the on the table discussions is a good start to bringing city issues to light. And while it’s not directly effective in solving these issues, it was a really refreshing to discuss problems that (coming from a upper middle class suburban family), I don’t often think of. In terms of learning anything new or changing my mind, I really only learned about where funding for public education truly comes from, and why it poses threat to the cycle of poverty. When coupled with the current issues of redlining and raising housing values, it can become a concern for the future of lexington.","Positive,Comp Plan Relevant,Specific Feedback","Public Education,Diversity / Equity / Inclusion"
352,Thank you,Positive,
353,Excellent experience. Definitely picked up valuable facts and perspectives fro the table members. ,"Positive,Specific Feedback",
354,I had a great experience and enjoyed being able to voice some options with others. All conversation was entertained and respected ,Positive,
355,"It was great to bounce ideas and opinions off each other. My mind hasn’t changed. We need better cost of living, new jobs, and better public transportation ","Positive,Comp Plan Relevant,Specific Feedback","Wages / Benefits,Economic Development,Public Transportation"
356,I think this helped make me become more aware of what problems exist in Lexington and what might be some possible solutions on how we can fix them and improve the city.,Positive,
357,"Great!  Grateful to have the opportunity to participate and provide feedback. The growth of Lexington (and how it is done) is so important. While we don’t want to remain stagnant, we have to grow in a sustainable and well thought out way in order to preserve the unique character and quality of life that makes Lexington special. ","Positive,Comp Plan Relevant",Style of Development
358,I loved having in depth discussions with colleagues and learning different perspectives.,Positive,
359,It generally good. Great discussion. A bit too long,"Positive,Specific Feedback",
360,"Yes, I did not expect people to say they wanted less parking when such a large concern of most people I’ve talked to is the lack of parking ",Comp Plan Relevant,Parking
361,This was a great experience. I enjoyed connecting with folks about issues facing Lexington and roles social enterprises can play in solving those. ,"Positive,Specific Feedback",
362,"This open table helped me better identify issues relating to transportation and housing that I have experienced but did not identify as problematic. It was good to hear that others have had similar experiences. Looking forward, I would like to see increased effort to make the city more accessible for walking, biking, and public transit. ","Positive,Comp Plan Relevant","Walkability / Bikeability / Accessibility,Public Transportation"
363,It was a positive experience and interesting to hear how different people with different connections and backgrounds would address the issues. It sounds like affordable (diverse) housing and transportation should be designed/addressed together.,"Positive,Comp Plan Relevant,Specific Feedback","Housing Affordabiilty,Style of Development"
364,It was a positive experience. Hearing that others in the community share the same concerns hopes and aspirations is energizing and reinforces the commitment to working towards a better Lexington. ,Positive,
365,Such a great experience with lots of diverse perspectives. Would strongly recommend a focus or prompt focusing on education in future.  ,"Positive,Specific Feedback",
366,The importance of education being at the center to all of these issues really came through in this OTT discussion. OTT should consider focusing on education in future versions. ,"Comp Plan Relevant,Specific Feedback",Public Education
367,The experience was great. I was surrounded by likeminded people so I heard a lot of similar ideas. I wonder if the recruitment mechanism could be switched up to reinforce mixed groups,"Positive,Specific Feedback",
368,"This session had a lot of discussion about the role of education as it relates to the topics provided: neighborhoods, environment , jobs and prosperity, transportation …. ",Comp Plan Relevant,Public Education
369,We need to develop our inner city. This is recycling at the highest level.,Comp Plan Relevant,"Growth Location,Recycling & Composting"
