OTT Raw Data Response,Neighborhood Cluster,Neighborhood MC,Neighborhood - OR,Neighborhood Codes,Environment - MC,Environment - OR,Environment Codes,Jobs & Prosperity - MC,Jobs & Prosperity - OR,Jobs & Prosperity Codes,Transportation - MC,Transportation - OR,Transportation Codes,UR Balance MC,UR Balance - OR,UR Balance Codes,Lex - MC,Lex - OR,Lexington Codes,Gender,Age Range,Race,Race - Open Response,Highest Education Level,ZIP Code,Likely Council District
479,Hartland / Squires,"Yes, I like living in my neighborhood.",MORE SOCIAL EVENTS,Amenities & Quality of Life,"Yes, I think protecting the environment should be a high priority",PROMOTE ELECTRIC VEHICLES,Environmental Sustainability & Resiliency,I think that only some people can succeed financially in Lexington,MORE BLUE COLLAR JOBS,Economic Development,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",BUS LANES,Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens",SMART GROWTH,Style of Development,"Yes, I like living/spending time in Lexington",MORE DOWNTOWN ACTIVITIES,Amenities & Quality of Life,Male,70-80,Black / African-American,,Master's Degree,40515,12
480,No Response,"Yes, I like living in my neighborhood.",More walkability ,Walkability / Bikeability / Accessibility,"Yes, I think protecting the environment should be a high priority",,,I think that only some people can succeed financially in Lexington,A little more affordable shopping ,Amenities & Quality of Life,"I think walking, biking, and public transit are more important for the city to prioritize",Biking trails ,Walkability / Bikeability / Accessibility,I think growth in Lexington is always a good thing,,,"Yes, I like living/spending time in Lexington",,,Female,20-30,White,,Master's Degree,40516,12
481,No Response,"No, I do not like living in my neighborhood.",more diversity,Diversity / Equity / Inclusion,"Yes, I think protecting the environment should be a high priority","Protect trees
recycle
more mass transportation","Trees,Recycling & Composting,Public Transportation",I think that only some people can succeed financially in Lexington,"reasonable salaries - sharing wealth - more interaction racially, cultural, and interaction with all levels - less greed","Wages / Benefits,Economic Equity","I think it is equally important for the city to prioritize cars, walking, biking, and public transit","more buses
less cars
smaller environmental control",Public Transportation,I think growth in Lexington is a bad thing,in low income areas & more accessibility for seniors,Style of Development,"I like living/spending time in Lexington, but it could use some changes",less development,Growth Location,Female,70-80,White,,More than Master's Degree,40502,Unknown
482,Lakeview / Chinoe,"Yes, I like living in my neighborhood.",Less rental properties and more family-owned homes,"Rental Issues,Style of Development","Yes, I think protecting the environment should be a high priority",More parks,Urban Greenspaces,I think everyone can succeed financially in Lexington,More job training programs and job fairs,Workforce Training,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",Use existing rail lines for passenger trains on the corridor from Nicholasville to Lexington and invest in infrastructure to provide multiple stops intermittently ,Public Transportation,I think growth in Lexington is always a good thing,Along Winchester Road I would like to see Lexington invest in green space growth,"Growth Location,Urban Greenspaces","I like living/spending time in Lexington, but it could use some changes","Improve all city parks. Some city parks are run down and in need of improvements. Mount Tabor Park is a prime example. The perimeter of the park (fencing) is in disrepair and the paved trail was done very poorly last summer (2021). The surface is not smooth. That park has a lot of use primarily among the soccer community. Also, the sidewalk extension along Mt. Tabor between Patchen Drive and Richmond Road would do much to make the neighborhood safer for pedestrians.","Urban Greenspaces,Walkability / Bikeability / Accessibility",Female,50-60,White,,More than Master's Degree,40517,5
483,Idle Hour / Woodhill,"Yes, I like living in my neighborhood.",Nothing,,"Yes, I think protecting the environment should be a high priority",More Leaf removal,Government Services,I think everyone can succeed financially in Lexington,"Small Business Loans
Start up loans",Economic Development,"I think walking, biking, and public transit are more important for the city to prioritize",More buses,Public Transportation,I think growth in Lexington is always a good thing,Rebuild downtown,"Infill & Redevelopment,Growth Location","Yes, I like living/spending time in Lexington",Nothing,,Male,40-50,White,,Bachelor's Degree,40509,7
484,Lansdowne / Glendover,"Yes, I like living in my neighborhood.",It’s great! Better access to public transportation. ,Public Transportation,"Yes, I think protecting the environment should be a high priority",I think we do a good job with restricting urban service boundary to control growth and protect our environment. ,"Urban Services Boundary,Environmental Sustainability & Resiliency",I think everyone can succeed financially in Lexington,Housing affordability ,Housing Affordabiilty,"I think walking, biking, and public transit are more important for the city to prioritize",A complete overhaul of the system. Have you ever tried to get around on the bus system? It’s awful and very restrictive to those who need it most. ,Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens","It’s really hard to imagine the farms around Lexington disappearing, but that is inevitable for growth. I would like to continue to see Re-development within the urban service boundary. But affordable housing needs to be apart of the discussion and it rarely is. ","Urban Services Boundary,Housing Affordabiilty","Yes, I like living/spending time in Lexington",I think it’s a great place to live. Continuing to promote diversity would be great. ,Diversity / Equity / Inclusion,Male,30-40,White,,Master's Degree,40502,3
485,Woodland / Chevy Chase / Ashland,"Yes, I like living in my neighborhood.","its already great
",,"Yes, I think protecting the environment should be a high priority",stricter environmental laws,"Government Services,Environmental Sustainability & Resiliency",I think everyone can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,I think growth in Lexington is always a good thing,"in the more dangerous parts of lexington, need more police patrolling in more dangerous places","Growth Location,Safety","Yes, I like living/spending time in Lexington",,,,,,,High School Student,,5
486,Downtown ,"Yes, I like living in my neighborhood.",Grocery store nearby,Amenities & Quality of Life,"Yes, I think protecting the environment should be a high priority",Offering financial incentives for recycling,Recycling & Composting,I think everyone can succeed financially in Lexington,Incentives to bring additional employers to Lexington,Economic Development,I think it’s more important for the city to prioritize cars,,,"I think growth in Lexington is a good thing, depending on how it happens",Need to start building vertically instead of horizontally,Style of Development,"Yes, I like living/spending time in Lexington",Get the murder rates lower by eliminating drugs,Safety,Male,60-70,White,,Master's Degree,40507,"3,1"
487,Stonewall,"Yes, I like living in my neighborhood.",More walking and biking paths/lanes,Walkability / Bikeability / Accessibility,"Yes, I think protecting the environment should be a high priority","Urge recycling, make garbage more expensive by container size, urge composting, less cars","Recycling & Composting,Government Services,Environmental Sustainability & Resiliency",I think that only some people can succeed financially in Lexington,I think we have an environment in planning when developers get whatever they want. ,Economic Equity,"I think walking, biking, and public transit are more important for the city to prioritize",Dedicated bike lanes with a separation-its just dangerous to try to ride in Lex.  At least lanes with green paint?   ,Walkability / Bikeability / Accessibility,I think growth in Lexington is always a good thing,"Versailles Rd, Winchester Rd/Man O War/Richmond Rd to county line",Growth Location,"Yes, I like living/spending time in Lexington",More connected parks/trails/walkways so that you can actually traverse thru town safely.   Would love to see us be able to create a bike/walking path along rail lines thru the city,Walkability / Bikeability / Accessibility,Male,50-60,White,,Master's Degree,40503,"9,10"
488,Lansdowne / Glendover,"Yes, I like living in my neighborhood.",do not cut down trees on Lansdowne Drive,Trees,"Yes, I think protecting the environment should be a high priority",build more parks,"Urban Greenspaces,Rural Greenspace Conservation",I think everyone can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,I think growth in Lexington is a bad thing,It would ruin the feel born of Lexington.,,"Yes, I like living/spending time in Lexington",We need a small zoo.,Amenities & Quality of Life,Female,70-80,White,,More than Master's Degree,40502,3
489,Masterson / McConell's Trace / Coldstream,"I like living in my neighborhood, but it could use some changes.","More options for food and shopping, which would also provide more jobs closer to where people live. ","Amenities & Quality of Life,Economic Development,Economic Equity","I think protecting the environment is good, but it shouldn't be a high priority",,,I think everyone can succeed financially in Lexington,"Make jobs more accessible whether by walking, public transportation or allowing to do so at home. ","Economic Equity,Public Transportation","I think it is equally important for the city to prioritize cars, walking, biking, and public transit","We are a car town and I do not see that changing for many, me included. I applaud those who use other means to travel and definitely think we need to take that into consideration when planning. Safer bike lanes and more trails are needed. ",Walkability / Bikeability / Accessibility,"I think growth in Lexington is a good thing, depending on how it happens","I think building in and up is good when it is not displacing people and destroying history. We keep approving development without taking into consideration how roads should change, when schools will be built to accommodate more students, and how we can incorporate parks and greenspace. I believe expanding the USB may be needed soon but do not want to see development occur with no amenities, employment or transportation nearby. ","Infill & Redevelopment,Gentrification & Displacement,Urban Services Boundary,Amenities & Quality of Life,Public Education","Yes, I like living/spending time in Lexington",Working on the crime issue now will help our future,Safety,Female,40-50,White,,Bachelor's Degree,40511,2
490,No Response,"Yes, I like living in my neighborhood.",nearby police station,Safety,,,,,,,,,,,,,,,,,,,,High School Student,,Unknown
491,No Response,,,,"Yes, I think protecting the environment should be a high priority",,,I think that only some people can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,"I think growth in Lexington is a good thing, depending on how it happens","I am concerned about the loss of rural land for ""development.""  And, too the influence of developers via donations etc to our public officials campaigns etc.",Rural Greenspace Conservation,"Yes, I like living/spending time in Lexington",I have lived here 55 years.  I am surprised there is not a question about public safety.  I am also concerned about the quality of our public schools.,"Safety,Public Education",Male,70-80,White,,Master's Degree,40504,Unknown
492,Kenwick / Bell Ct. ,"I like living in my neighborhood, but it could use some changes.",Better infrastructure and control of developers who are gentrifying the neighborhood.,"Infrastructure & Utilities,Gentrification & Displacement","Yes, I think protecting the environment should be a high priority",Better public transportation options. ,Public Transportation,I think everyone can succeed financially in Lexington,Affordable housing solutions and better focus on trade education. ,Housing Affordabiilty,"I think walking, biking, and public transit are more important for the city to prioritize","Options other than lextran to encourage feeer cars. Good job on trails, but not all of us want to be bikers!!

Express bus routes — smaller buses — the lextran buses seem to be sparsely used.","Walkability / Bikeability / Accessibility,Public Transportation","I think growth in Lexington is a good thing, depending on how it happens",Careful to balance growth and protect the things that make Lexington unique. We have to figure out more affordable housing options or we’re going to left without space for young adults and families.,"Housing Affordabiilty,Style of Development,Diversity / Equity / Inclusion","Yes, I like living/spending time in Lexington",,,Female,60-70,White,,Bachelor's Degree,40502,5
493,Woodland / Chevy Chase / Ashland,"Yes, I like living in my neighborhood.","My neighborhood is just fine. Need to make other areas more successful with better transit, youth development, and job opportunities. ","Public Transportation,Social Services,Public Education,Wages / Benefits","I think protecting the environment is good, but it shouldn't be a high priority",Maintain urban services boundary. ,Urban Services Boundary,I think everyone can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize",Overhaul Lextran,Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens","Targeted and intentional growth to USB, not for McMansions but for what we actually need for our city. Otherwise incentivize urban infill","Urban Services Boundary,Infill & Redevelopment,Style of Development","Yes, I like living/spending time in Lexington",,,Female,30-40,White,,Bachelor's Degree,40502,5
494,Tates Creek,"Yes, I like living in my neighborhood.","More parks, better lighted streets, more pet waste disposal","Urban Greenspaces,Infrastructure & Utilities,Environmental Sustainability & Resiliency","Yes, I think protecting the environment should be a high priority","A strong focus on investing in green energy, better recycling, environmental clean up of the river systems in the city, more trees planted, more public transportation, more parks, ","Recycling & Composting,Water Infrastructure / Quality,Trees,Public Transportation,Urban Greenspaces,Environmental Sustainability & Resiliency",I think that only some people can succeed financially in Lexington,"Pay based on cost of living, increased minimum wage, rent price control, lower food prices, more options for transportation, encouragement for the creation of cooperatives.","Wages / Benefits,Rental Issues,Public Transportation","I think walking, biking, and public transit are more important for the city to prioritize","More buses, invest in trolleys or trans to major areas of the city such as university. More bike paths throughout the city, more parking garages that are conecten to public transit, more taxis, Rj Cronin is also is a perfect route to connect commuters through rail into the city","Walkability / Bikeability / Accessibility,Public Transportation,Parking","I think growth in Lexington is a good thing, depending on how it happens","Lexington should grow to an extent without losing its uniqueness of a city and displacing poorer communities, gentrification bad",Gentrification & Displacement,"Yes, I like living/spending time in Lexington","More fishing spots, more outdoor recreational activities, more museums, aquariums showing native animals",Amenities & Quality of Life,Male,30-40,Hispanic / Latino,,Master's Degree,40517,8
495,Hartland / Squires,"I like living in my neighborhood, but it could use some changes.",More diverse events/activities hosted by HOA. More classes/workshops provided for FREE that encourage DEI issues.,"Amenities & Quality of Life,Government Education","I think protecting the environment is good, but it shouldn't be a high priority",,,I think that only some people can succeed financially in Lexington,"The ""welfare"" system does not prepare and support families to live outside of the assistance that is given. Generations of families rely on public assistance and are crippled from being able to obtain/maintain more substantial employment (almost ""penalized"" for pursuing better employment by immediately losing supports, exponential rent increases for .50-$1.00 raises of income) the Poverty scale prohibits families from pursuing higher wages so it makes remaining underemployed more appealing.","Rental Issues,Social Services","I think it is equally important for the city to prioritize cars, walking, biking, and public transit","'-Expand Lextran routes - more cross transfers to avoid need to go to transit center to get from one side of town to the other - this causes longer transport for workers and individuals to get to school.
-More incentives for larger employers to provide shuttles/ride share/Uber for employees.",Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens","Growth should be about how the individual grows, not the economy per se. More needs to be done to improve the quality of life of residents, ie mental health & wellness and overall basic life skills functioning.",,"I like living/spending time in Lexington, but it could use some changes",,,Female,40-50,Black / African-American,,Bachelor's Degree,40515,12
496,Gardenside,"Yes, I like living in my neighborhood.","nothing
New HOA - haha",Amenities & Quality of Life,"I think protecting the environment is good, but it shouldn't be a high priority",remember what makes Lexington special,Amenities & Quality of Life,I think that only some people can succeed financially in Lexington,better and more education,Public Education,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",?,,"I think growth in Lexington is a good thing, depending on how it happens",by a great comprehensive plan,,"Yes, I like living/spending time in Lexington",we have it all,,Female,70-80,White,,Associate's Degree,40504,10
497,Wyndham,"Yes, I like living in my neighborhood.",Community pool and clubhouse would be a nice addition to our neighborhood for exercise and indoor meeting space.,Amenities & Quality of Life,"No, I don't think protecting the environment should be a high priority",I think plenty is already being done and we don’t need to do anymore. People are more important.,Environmental Sustainability & Resiliency,I think that only some people can succeed financially in Lexington,"Lexington does well for some people. The horse industry does very well by not having to pay taxes on horse sales. Others are saddled with high taxes. Lower taxes, fewer regulations, and a safer community would help greatly.","Safety,Economic Development",I think it’s more important for the city to prioritize cars,We need wider roads and improved intersections. There aren’t enough bike riders to warrant more bike lanes.,Infrastructure & Utilities,I think growth in Lexington is always a good thing,Growth should expand out rather than contest an already congested downtown.,Growth Location,"I like living/spending time in Lexington, but it could use some changes",A safer city that is tougher on crime would help tremendously. Stop crowding downtown and focus more on the suburbs.,"Safety,Style of Development",Male,50-60,Asian,,Bachelor's Degree,40514,9
498,East End,"I like living in my neighborhood, but it could use some changes.",Affordable multi-unit housing. Walkable grocery store,"Style of Development,Amenities & Quality of Life,Walkability / Bikeability / Accessibility,Connectivity,Housing Affordabiilty","Yes, I think protecting the environment should be a high priority",Switching the electric grid to renewable sources. Massive expansion of the public transport system. More accessible green spaces and urban agricultural projects.,"Environmental Sustainability & Resiliency,Public Transportation,Urban Greenspaces,Rural Greenspace Conservation",I think that only some people can succeed financially in Lexington,Jobs guarantee. Universal pre-K. Universal health care. Free public transport. Jobs/skills training. Affordable housing.,"Public Education,Social Services,Workforce Training,Public Transportation,Housing Affordabiilty","I think walking, biking, and public transit are more important for the city to prioritize",Expand the bus system and make public transport free. Expand the bike lane system and get rid of bike lanes that share space with turning lanes. Prioritize walk-able neighborhoods.,"Walkability / Bikeability / Accessibility,Public Transportation,Connectivity","I think growth in Lexington is a good thing, depending on how it happens",,,"I like living/spending time in Lexington, but it could use some changes",Affordable housing. Walk-able neighborhoods. Addressing gentrification and food desertification. More green space and community centers.,"Housing Affordabiilty,Walkability / Bikeability / Accessibility,Style of Development,Gentrification & Displacement,Amenities & Quality of Life,Urban Greenspaces,Rural Greenspace Conservation",Non-Binary,20-30,Black / African-American,,Master's Degree,40508,1
499,Tates Creek,"Yes, I like living in my neighborhood.","I live on Malabu close to NC and people on both Malabu and Tate’s Creek bc it’s close to NC have issues w speeding, making my intersection kind of dangerous. ",Traffic Calming / Safety,"Yes, I think protecting the environment should be a high priority","I’m not sure in what all ways the environment is currently being impacted in Lex but just off the top of my head we could start with a ban on plastic straws at restaurants, then maybe advance that to eliminating styrofoam, and eventually other single use plastics. Micro plastics are killing us, fr.",Environmental Sustainability & Resiliency,I think that only some people can succeed financially in Lexington,"Raising the minimum wage in Lex. We might not be able to change the fed min ourselves, but we can increase the min wage for Fayette co. I feel like somewhere between $12-14 would be a good start. Getting paid anything less than $12 is insane, how is anyone expected to live that way?",Wages / Benefits,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",I was actually just looking at bike routes yesterday and considering purchasing a bike to commute to campus next year. I think we need more bike lanes and ideally some kind of training course for people who don’t know the rules like myself.,"Walkability / Bikeability / Accessibility,Economic Equity","I think growth in Lexington is a good thing, depending on how it happens",I think there are a lot of highways that need repair. Different areas need to add or repair sidewalks. ,"Infrastructure & Utilities,Walkability / Bikeability / Accessibility","Yes, I like living/spending time in Lexington",,,Female,20-30,White,,Associate's Degree,40502,8
500,No Response,"I like living in my neighborhood, but it could use some changes.",Pocket parks,Urban Greenspaces,"Yes, I think protecting the environment should be a high priority",,,I think that only some people can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Walkable, Bikeable system should be city wide if possible.",Walkability / Bikeability / Accessibility,"I think growth in Lexington is a good thing, depending on how it happens",,,"Yes, I like living/spending time in Lexington",,,Male,60-70,White,,High School Diploma or equivalent,,Unknown
501,Picadome / Pensacola,"Yes, I like living in my neighborhood.",Less traffic on Nicholasville road ,Traffic Congestion,"Yes, I think protecting the environment should be a high priority",Plant Trees wherever possible and landscape public areas with native plants ,"Trees,Urban Greenspaces",I think everyone can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"Yes, I like living/spending time in Lexington",,,Male,60-70,White,,Master's Degree,40503,10
502,Lansdowne / Glendover,"Yes, I like living in my neighborhood.",,,"I think protecting the environment is good, but it shouldn't be a high priority",,,I think that only some people can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,I think growth in Lexington is always a good thing,,,"Yes, I like living/spending time in Lexington",,,Female,40-50,White,,Master's Degree,40502,5
503,Downtown ,"Yes, I like living in my neighborhood.","more retail (grocery stores, pharmacies) and more apartments - very limited options currently ","Amenities & Quality of Life,Housing Affordabiilty,Rental Issues","Yes, I think protecting the environment should be a high priority",,,I think everyone can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize",,,I think growth in Lexington is always a good thing,,,"Yes, I like living/spending time in Lexington",,,,,,,,,"3,1"
504,No Response,"I like living in my neighborhood, but it could use some changes.",better appearance ,Style of Development,"Yes, I think protecting the environment should be a high priority",cleaning/picking up trash,Environmental Sustainability & Resiliency,I think that only some people can succeed financially in Lexington,higher payments etc,Wages / Benefits,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",more paths for walking and biking,Walkability / Bikeability / Accessibility,"I think growth in Lexington is a good thing, depending on how it happens",broken down places or upgrade models for old buildings,Infill & Redevelopment,"I like living/spending time in Lexington, but it could use some changes",better stores to go through,,,,,,High School Student,,Unknown
505,Stonewall,"Yes, I like living in my neighborhood.","I think a nice club house, with a private park would be good for the neighborhood kids.","Amenities & Quality of Life,Urban Greenspaces","I think protecting the environment is good, but it shouldn't be a high priority",More solar and wind powered machines,Environmental Sustainability & Resiliency,I think everyone can succeed financially in Lexington,Job opportunities as well as educational opportunities ,"Economic Development,Workforce Training,Public Education","I think walking, biking, and public transit are more important for the city to prioritize","I think more busses, as well as an above ground speedway Around New Circle road would be great. ","Public Transportation,Traffic Congestion",I think growth in Lexington is always a good thing,More roads,Infrastructure & Utilities,"I like living/spending time in Lexington, but it could use some changes","I think a better public transportation system would be great. Also, more cultural activities would be great. ","Public Transportation,Amenities & Quality of Life",Female,30-40,Black / African-American,,Master's Degree,40502,9
506,Old Richmond Road / Rural South,"Yes, I like living in my neighborhood.",I think it would be nice if there was some code enforcement on old Richmond Road to get rid of the junkyards abandon homes abandon green houses businesses can pop up anywhere they want people have junk in their yards treated more like heartland in Chilesburg and Hamburg and shaun it’s like anybody can do anything to have the nastiest yard we have condemned homes we got people starting up businesses everywhere and there’s no enforcement on old Richmond Road make the people clean up and tear down ,Government Services,"I think protecting the environment is good, but it shouldn't be a high priority",The environment is fine in Lexington don’t add extra employees and extra people to think of extra ideas that don’t have anything to do with the environment it’s just a waste of money it’s fine the way it is.,,I think everyone can succeed financially in Lexington,"Don’t give away free money, mandatory drug testing for welfare recipients almost every business in Lexington has help wanted they are all paying premium high wages if Lexington would quit giving away free money and free housing people would have to go to work other than old or disabled the biggest problem there needs to be drug testing for free money and if they can’t pass a drug test no more free stuff.",,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",Lexington is spread wide and far we have a lot of rural areas and we have a lot of inner city areas I don’t think there is much needed as far as public transportation street lights synchronizing and overpasses and underpasses would be a big bonus to the traffic problems.,"Public Transportation,Traffic Congestion","I think growth in Lexington is a good thing, depending on how it happens",Stay out of the protected farm land and nature areas a lot of times people get carried away by a piece of property and build whatever they want anywhere they want they should be more thought to put into this we can’t just let development get out of control anywhere there’s an open piece of property in Lexington people need to think before they pass out permits.,Rural Greenspace Conservation,"Yes, I like living/spending time in Lexington",I think Lexington has enough to do if you get tired of the area you can always go vacation somewhere and then come back but overall Lexington is a clean safe town and a great place to live in.,"Safety,Amenities & Quality of Life",Male,60-70,White,,High School Diploma or equivalent,40515,12
507,Masterson / McConell's Trace / Coldstream,"Yes, I like living in my neighborhood.",Play area,Amenities & Quality of Life,"Yes, I think protecting the environment should be a high priority","Manage development
Larger lots ",Style of Development,I think everyone can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"Yes, I like living/spending time in Lexington",,,Female,50-60,Black / African-American,,More than Master's Degree,40511,2
508,No Response,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority",,,I think everyone can succeed financially in Lexington,,,"I think walking, biking, and public transit are more important for the city to prioritize",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"Yes, I like living/spending time in Lexington",,,Female,30-40,Black / African-American,,High School Diploma or equivalent,40505,Unknown
509,Northside,"Yes, I like living in my neighborhood.",Slowing down the car traffic and making more space for bikes and pedestrians. Lanes are too wide and encourage speeding. Removing historic protections (H-1) for entire neighborhoods would make modest density increases in walkable neighborhoods more feasible. More walkable everyday services. Improved cross-town transit access and frequency.,"Traffic Calming / Safety,Walkability / Bikeability / Accessibility,Style of Development,Connectivity,Public Transportation","Yes, I think protecting the environment should be a high priority","Dense, walkable communities reduce car usage, energy use per capita, infrastructure maintenance, and a host of other things that damage the environment. Putting as many residents within walking distance of their work and services is the best way to build a climate-resilient and environmentally sound Lexington. With increased density, transit can become more efficient, serving more citizens with greater frequency without major capital increases.","Walkability / Bikeability / Accessibility,Traffic Congestion,Environmental Sustainability & Resiliency,Public Transportation",I think everyone can succeed financially in Lexington,"Reducing the fixed cost burdens on our hard-working lower-paid workers. Removing the need for a car and having an affordable place to live builds a structure for financial success. Again, increasing density helps solve both problems. We need more and better-paying jobs in the city for citizens without a college degree.","Style of Development,Housing Affordabiilty,Public Transportation,Economic Equity,Economic Development","I think walking, biking, and public transit are more important for the city to prioritize","DENSITY and TRANSIT. Narrowing car lanes to make room for dedicated and protected bike and bus lanes both increases a road's capacity and slows car traffic, making the road safer for everyone. Removing parking minimums will help increase density on underutilized land and open up many more parcels to development. Bus access (measured by the number of citizens who can reach their job or daily services within a 30-min bus trip) and bus frequency (aiming for 15-min intervals).","Public Transportation,Style of Development,Traffic Calming / Safety,Parking,Walkability / Bikeability / Accessibility,Infill & Redevelopment",I think growth in Lexington is always a good thing,"Densify where there is excess capacity: existing transit access, underdeveloped land, access to services. Add modest density in more places, creating hubs around which more growth can happen. Simply allowing 2-4 units on a walkable residential lot would grow Lexington without changing its character. Start from already walkable mixed-use areas (Romany, Southland, Euclid/High, Leestown, N. Limestone) and work out.","Style of Development,Public Transportation,Infill & Redevelopment","I like living/spending time in Lexington, but it could use some changes","A broader array of year-round cultural amenities, easier access to transit, more mixed retail-residential neighborhoods, better public schools, a stronger and more focused philanthropic/non-profit community, improved homeless transition services, more and better jobs.","Amenities & Quality of Life,Public Transportation,Style of Development,Social Services,Wages / Benefits",Male,30-40,White,,Master's Degree,40508,1
510,Downtown ,"I like living in my neighborhood, but it could use some changes.","A grocery store, more tree cover, less busy and more pleasant streets, public transportation. ","Amenities & Quality of Life,Trees,Traffic Congestion,Style of Development,Public Transportation","Yes, I think protecting the environment should be a high priority","Protect the horse farms, encourage natural growth, reduce pollution and emissions, improve public transit usage and walk ability, and encourage sustainability programs. ","Rural Greenspace Conservation,Environmental Sustainability & Resiliency,Walkability / Bikeability / Accessibility",I think that only some people can succeed financially in Lexington,"Incorporate more youth voices in development and policy planning, encourage downtown development, improve affordable housing availability , encourage and invest in more diverse industries, encourage small business and tech development, try and retain younger people after they graduate from college. ","Housing Affordabiilty,Economic Development","I think walking, biking, and public transit are more important for the city to prioritize","Lexington’s public transit system is atrocious. There are many reasons for this, but it can largely be attributed to a lack of development around transit stops, limited transit availability options, prioritization of private cars in policy, and a lack of density in our corps. This isn’t cultural, it’s driven by policy. ","Public Transportation,Style of Development","I think growth in Lexington is a good thing, depending on how it happens","We need fill in the gaps of Lexington before we grow out. I don’t support the expansion of the USB. There’s too much open space, vacant land, and parking lots in our city limits to justify more sprawl. Our inability to develop it is a failure of our zoning, incentives, and overarching policy, not the hesitation of developers or our culture. ","Urban Services Boundary,Style of Development,Parking","I like living/spending time in Lexington, but it could use some changes","I love Lexington. It’s an incredible city. But encouraging mixed used neighborhoods, better public transit, more and better economic opportunity, and making it a more attractive place for young people of all sorts would make Lexington a better and more pleasant place to live. ","Style of Development,Public Transportation,Economic Development",Male,20-30,"White,Other",,Master's Degree,40507,"1,3"
511,Gardenside,"Yes, I like living in my neighborhood.","Improvements in the park. Adding some trails. Overall, I think my neighborhood is very inviting. ","Urban Greenspaces,Walkability / Bikeability / Accessibility","Yes, I think protecting the environment should be a high priority","Public transportation, electric vehicles, encouraging solar installations, maintain our grenapaces and add more","Public Transportation,Environmental Sustainability & Resiliency,Urban Greenspaces",I think that only some people can succeed financially in Lexington,"Better financial education for our youth, mentors for our youth, jobs in all sorts of sectors, affordable housing","Housing Affordabiilty,Workforce Training,Economic Development,Public Education","I think walking, biking, and public transit are more important for the city to prioritize","Make it electric. Broaden the routes for buses, keep the fares low, add bike lanes and sidewalks where there are none","Walkability / Bikeability / Accessibility,Public Transportation,Environmental Sustainability & Resiliency","I think growth in Lexington is a good thing, depending on how it happens",Equality and affordability are primary. Keep green spaces and make them available in all neighborhoods. ,"Economic Equity,Urban Greenspaces","Yes, I like living/spending time in Lexington",Improve the children’s museum. Make downtown inviting. Keep quality education as a priority. ,"Amenities & Quality of Life,Public Education",Female,60-70,White,,Bachelor's Degree,40504,11
512,Stonewall,"Yes, I like living in my neighborhood.",Sidewalks on more side streets and better lighting. ,"Walkability / Bikeability / Accessibility,Infrastructure & Utilities","Yes, I think protecting the environment should be a high priority",Better recycling and lower gas emissions ,"Recycling & Composting,Environmental Sustainability & Resiliency",I think that only some people can succeed financially in Lexington,Easier and cheaper access to education ,Public Education,"I think walking, biking, and public transit are more important for the city to prioritize",More options especially since the future will bring alternate modes of transportation such as flying cars or the like,"Walkability / Bikeability / Accessibility,Public Transportation","I think growth in Lexington is a good thing, depending on how it happens",Growth is essential but not at the expense of our horse farms and land,Rural Greenspace Conservation,"I like living/spending time in Lexington, but it could use some changes","Outside concert venues, less hotels and housing. More outside options of things to do. ","Amenities & Quality of Life,Housing Affordabiilty",Female,40-50,White,,Bachelor's Degree,40503,9
